step,target,reward,success,predicted_x,predicted_y,actual_x,actual_y
1,3,10,True,665,1961,666,1962
2,+,10,True,939,1921,940,1920
3,6,10,True,668,1714,669,1714
4,=,-5,False,942,2189,940,2190
1,8,10,True,404,1459,404,1459
2,+,10,True,941,1923,941,1923
3,1,10,True,165,1958,165,1958
4,=,10,True,944,2186,944,2186
1,6,10,True,670,1707,670,1707
2,-,10,True,943,1778,943,1778
3,1,10,True,164,1958,164,1958
4,+,10,True,941,1918,941,1918
5,5,10,True,421,1714,421,1714
6,=,10,True,941,2186,941,2186
1,6,10,True,673,1709,673,1709
2,-,10,True,941,1784,941,1784
3,3,10,True,664,1961,664,1961
4,=,10,True,939,2188,939,2188
2,+,10,True,936,1916,936,1916
4,=,10,True,937,2192,937,2192
2,+,10,True,943,1922,943,1922
4,=,10,True,935,2186,935,2186
2,+,10,True,943,1916,943,1916
1,3,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,6,10,True,0,0,0,0
4,=,15,True,0,0,0,0
1,5,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,8,10,True,0,0,0,0
4,=,15,True,0,0,0,0
1,5,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,8,10,True,0,0,0,0
4,=,15,True,0,0,0,0
1,6,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,9,10,True,0,0,0,0
4,-,10,True,0,0,0,0
5,2,10,True,0,0,0,0
6,=,15,True,0,0,0,0
1,9,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,2,10,True,0,0,0,0
4,*,10,True,0,0,0,0
5,3,10,True,0,0,0,0
6,=,15,True,0,0,0,0
1,9,10,True,0,0,0,0
2,/,10,True,0,0,0,0
3,3,10,True,0,0,0,0
4,+,10,True,0,0,0,0
5,1,-10,False,0,0,0,0
6,=,15,True,0,0,0,0
1,6,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,9,10,True,0,0,0,0
4,-,10,True,0,0,0,0
5,2,10,True,0,0,0,0
6,=,15,True,0,0,0,0
1,6,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,9,10,True,0,0,0,0
4,=,15,True,0,0,0,0
1,6,-10,False,0,0,0,0
2,+,10,True,0,0,0,0
3,9,-10,False,0,0,0,0
4,=,15,True,0,0,0,0
1,5,10,True,0,0,0,0
2,-,10,True,0,0,0,0
3,2,10,True,0,0,0,0
4,=,-5,False,0,0,0,0
1,5,10,True,0,0,0,0
2,-,10,True,0,0,0,0
3,2,10,True,0,0,0,0
4,=,-5,False,0,0,0,0
1,3,10,True,0,0,0,0
2,*,-5,False,0,0,0,0
3,4,-10,False,0,0,0,0
4,+,-5,False,0,0,0,0
5,1,-10,False,0,0,0,0
6,=,-5,False,0,0,0,0
1,3,10,True,0,0,0,0
2,*,10,True,0,0,0,0
3,5,10,True,0,0,0,0
4,-,10,True,0,0,0,0
5,1,-10,False,0,0,0,0
6,=,15,True,0,0,0,0
1,6,-10,False,0,0,0,0
2,*,10,True,0,0,0,0
3,3,-5,False,0,0,0,0
4,-,-5,False,0,0,0,0
5,4,-5,False,0,0,0,0
6,=,-5,False,0,0,0,0
1,6,10,True,0,0,0,0
2,*,-5,False,0,0,0,0
3,3,10,True,0,0,0,0
4,-,10,True,0,0,0,0
5,4,10,True,0,0,0,0
6,=,15,True,0,0,0,0
1,7,10,True,0,0,0,0
2,*,-5,False,0,0,0,0
3,6,-5,False,0,0,0,0
1,6,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,8,10,True,0,0,0,0
4,=,15,True,0,0,0,0
1,5,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,7,-5,False,0,0,0,0
4,-,-5,False,0,0,0,0
5,2,-5,False,0,0,0,0
6,*,-5,False,0,0,0,0
7,4,-5,False,0,0,0,0
8,=,15,True,0,0,0,0
1,3,10,True,0,0,0,0
2,5,10,True,0,0,0,0
3,+,10,True,0,0,0,0
4,6,10,True,0,0,0,0
5,=,15,True,0,0,0,0
1,5,10,True,0,0,0,0
2,4,10,True,0,0,0,0
3,-,10,True,0,0,0,0
4,2,10,True,0,0,0,0
5,3,10,True,0,0,0,0
6,=,15,True,0,0,0,0
1,6,10,True,0,0,0,0
2,+,10,True,0,0,0,0
3,9,10,True,0,0,0,0
4,-,10,True,0,0,0,0
5,3,10,True,0,0,0,0
6,=,15,True,0,0,0,0
